UID          PID    PPID  C STIME TTY          TIME CMD
gdm         2511    2383  0 20:16 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
gdm         2520    2426  0 20:16 tty3     00:00:00 dbus-run-session -- gnome-session --autostart /usr/share/gdm/greeter/autostart
gdm         2521    2520  0 20:16 tty3     00:00:00 dbus-daemon --nofork --print-address 4 --session
gdm         2523    2520  0 20:16 tty3     00:00:00 /usr/libexec/gnome-session-binary --systemd --autostart /usr/share/gdm/greeter/autostart
gdm         2545       1  0 20:16 tty3     00:00:00 /usr/libexec/at-spi-bus-launcher
gdm         2551    2545  0 20:16 tty3     00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
gdm         2603    2523  0 20:16 tty3     00:00:08 /usr/bin/gnome-shell
gdm         2668    2603  0 20:16 tty3     00:00:00 ibus-daemon --panel disable --xim
gdm         2671    2668  0 20:16 tty3     00:00:00 /usr/libexec/ibus-dconf
gdm         2673       1  0 20:16 tty3     00:00:00 /usr/libexec/ibus-x11 --kill-daemon
gdm         2678       1  0 20:16 tty3     00:00:00 /usr/libexec/ibus-portal
gdm         2688       1  0 20:16 tty3     00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
gdm         2692       1  0 20:16 tty3     00:00:00 /usr/libexec/xdg-permission-store
gdm         2707       1  0 20:16 tty3     00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
gdm         2714    2523  0 20:16 tty3     00:00:00 /usr/libexec/gsd-sharing
gdm         2716    2523  0 20:16 tty3     00:00:00 /usr/libexec/gsd-wacom
gdm         2719    2523  0 20:16 tty3     00:00:00 /usr/libexec/gsd-color
gdm         2721    2668  0 20:16 tty3     00:00:00 /usr/libexec/ibus-engine-simple
gdm         2722    2523  0 20:16 tty3     00:00:00 /usr/libexec/gsd-keyboard
gdm         2723    2523  0 20:16 tty3     00:00:00 /usr/libexec/gsd-print-notifications
gdm         2725    2523  0 20:16 tty3     00:00:00 /usr/libexec/gsd-rfkill
gdm         2728    2523  0 20:16 tty3     00:00:00 /usr/libexec/gsd-smartcard
gdm         2730    2523  0 20:16 tty3     00:00:00 /usr/libexec/gsd-datetime
gdm         2735    2523  0 20:16 tty3     00:00:00 /usr/libexec/gsd-media-keys
gdm         2737    2523  0 20:16 tty3     00:00:00 /usr/libexec/gsd-screensaver-proxy
gdm         2747    2523  0 20:16 tty3     00:00:00 /usr/libexec/gsd-sound
gdm         2748    2523  0 20:16 tty3     00:00:00 /usr/libexec/gsd-a11y-settings
gdm         2749    2523  0 20:16 tty3     00:00:00 /usr/libexec/gsd-housekeeping
gdm         2758    2523  0 20:16 tty3     00:00:00 /usr/libexec/gsd-power
gdm         2791       1  0 20:16 tty3     00:00:00 /usr/libexec/gsd-printer
root        2846     929  0 20:21 ?        00:00:00 gdm-session-worker [pam/gdm-password]
melinal+    2858       1  0 20:21 ?        00:00:00 /lib/systemd/systemd --user
melinal+    2859    2858  0 20:21 ?        00:00:00 (sd-pam)
melinal+    2864    2858  0 20:21 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
melinal+    2866    2858  0 20:21 ?        00:00:00 /usr/libexec/tracker-miner-fs
melinal+    2869    2858  0 20:21 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
melinal+    2872       1  0 20:21 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
melinal+    2877    2858  0 20:21 ?        00:00:00 /usr/libexec/gvfsd
melinal+    2882    2858  0 20:21 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
melinal+    2902    2858  0 20:21 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
melinal+    2911    2858  0 20:21 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
melinal+    2915    2858  0 20:21 ?        00:00:00 /usr/libexec/goa-daemon
melinal+    2923    2858  0 20:21 ?        00:00:00 /usr/libexec/goa-identity-service
melinal+    2929    2858  0 20:21 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
melinal+    2934    2858  0 20:21 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
melinal+    2938    2858  0 20:21 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
melinal+    2953    2846  0 20:21 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
melinal+    2955    2953  0 20:21 tty2     00:00:22 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
melinal+    2976    2953  0 20:21 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
melinal+    3047       1  0 20:21 ?        00:00:00 /usr/bin/VBoxClient --clipboard
melinal+    3049    3047  0 20:21 ?        00:00:00 /usr/bin/VBoxClient --clipboard
melinal+    3059       1  0 20:21 ?        00:00:00 /usr/bin/VBoxClient --seamless
melinal+    3060    3059  0 20:21 ?        00:00:00 /usr/bin/VBoxClient --seamless
melinal+    3066       1  0 20:21 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
melinal+    3068    3066  0 20:21 ?        00:00:13 /usr/bin/VBoxClient --draganddrop
melinal+    3071       1  0 20:21 ?        00:00:00 /usr/bin/VBoxClient --vmsvga
melinal+    3072    3071  0 20:21 ?        00:00:00 /usr/bin/VBoxClient --vmsvga
melinal+    3074    2976  0 20:21 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
melinal+    3113    2858  0 20:21 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
melinal+    3118    3113  0 20:21 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
melinal+    3148    2858  0 20:21 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
melinal+    3155    2858  0 20:21 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
melinal+    3169    2858  1 20:21 ?        00:00:57 /usr/bin/gnome-shell
melinal+    3202    3169  0 20:21 ?        00:00:00 ibus-daemon --panel disable --xim
melinal+    3206    3202  0 20:21 ?        00:00:00 /usr/libexec/ibus-dconf
melinal+    3207    3202  0 20:21 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
melinal+    3209    2858  0 20:21 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
melinal+    3211    2858  0 20:21 ?        00:00:00 /usr/libexec/ibus-portal
melinal+    3224    2858  0 20:21 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
melinal+    3228    2858  0 20:21 ?        00:00:00 /usr/libexec/xdg-permission-store
melinal+    3231    2858  0 20:21 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
melinal+    3239    2858  0 20:21 ?        00:00:00 /usr/libexec/evolution-source-registry
melinal+    3248    2858  0 20:21 ?        00:00:00 /usr/libexec/evolution-calendar-factory
melinal+    3262    2858  0 20:21 ?        00:00:00 /usr/libexec/dconf-service
melinal+    3269    2858  0 20:21 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
melinal+    3283    2858  0 20:21 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
melinal+    3291    2877  0 20:21 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
melinal+    3302    2858  0 20:21 ?        00:00:00 /usr/libexec/gsd-a11y-settings
melinal+    3303    2858  0 20:21 ?        00:00:00 /usr/libexec/gsd-color
melinal+    3307    2858  0 20:21 ?        00:00:00 /usr/libexec/gsd-datetime
melinal+    3308    2858  0 20:21 ?        00:00:00 /usr/libexec/gsd-housekeeping
melinal+    3309    2858  0 20:21 ?        00:00:00 /usr/libexec/gsd-keyboard
melinal+    3310    2858  0 20:21 ?        00:00:00 /usr/libexec/gsd-media-keys
melinal+    3312    2858  0 20:21 ?        00:00:00 /usr/libexec/gsd-power
melinal+    3315    2858  0 20:21 ?        00:00:00 /usr/libexec/gsd-print-notifications
melinal+    3316    2858  0 20:21 ?        00:00:00 /usr/libexec/gsd-rfkill
melinal+    3321    2858  0 20:21 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
melinal+    3338    2858  0 20:21 ?        00:00:00 /usr/libexec/gsd-sharing
melinal+    3340    2858  0 20:21 ?        00:00:00 /usr/libexec/gsd-smartcard
melinal+    3343    2858  0 20:21 ?        00:00:00 /usr/libexec/gsd-sound
melinal+    3354    2858  0 20:21 ?        00:00:00 /usr/libexec/gsd-usb-protection
melinal+    3355    2858  0 20:21 ?        00:00:00 /usr/libexec/gsd-wacom
melinal+    3363    3155  0 20:21 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
melinal+    3364    3155  0 20:21 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
melinal+    3365    2858  0 20:21 ?        00:00:00 /usr/libexec/gsd-wwan
melinal+    3375    2858  0 20:21 ?        00:00:00 /usr/libexec/gsd-xsettings
melinal+    3410    2858  0 20:21 ?        00:00:00 /usr/libexec/gsd-printer
melinal+    3416    3202  0 20:21 ?        00:00:00 /usr/libexec/ibus-engine-simple
root        3552       2  0 20:22 ?        00:00:01 [kworker/3:2-events]
root        3553       2  0 20:22 ?        00:00:00 [kworker/2:2-mm_percpu_wq]
melinal+    3555    2858  0 20:22 ?        00:00:00 /usr/libexec/gvfsd-metadata
melinal+    3560    3155  0 20:22 ?        00:00:00 update-notifier
root        5245       2  0 21:08 ?        00:00:00 [kworker/u8:1-events_unbound]
root        5798       2  0 21:26 ?        00:00:00 [kworker/1:1]
root        5801       2  0 21:27 ?        00:00:00 [kworker/u8:0-events_power_efficient]
root        6316       2  0 21:33 ?        00:00:00 [kworker/0:0-events]
melinal+    6323    2858  0 21:34 ?        00:00:00 /usr/libexec/gnome-terminal-server
melinal+    6331    6323  0 21:34 pts/0    00:00:00 bash
melinal+    6815    6331  0 21:36 pts/0    00:00:00 ps -ef
